extension;category
aac;Audio
flac;Audio
m4a;Audio
mp3;Audio
ogg;Audio
wav;Audio
7z;Compressed
rar;Compressed
zip;Compressed
doc;Document
docx;Document
pdf;Document
txt;Document
xlsx;Document
xlsx;Document
bat;Executable
exe;Executable
jar;Executable
msi;Executable
sh;Executable
bmp;Picture
gif;Picture
jpeg;Picture
jpg;Picture
png;Picture
svg;Picture
avi;Video
flv;Video
mkv;Video
mov;Video
mp4;Video
wmv;Video
